interacting_pair,sender_cell_type,receiver_cell_type,eligible_datasets,supporting_datasets,rank_sum,ligand_deg,receptor_deg,datasets,prevalence,activity,time,cluster,activity_cluster_0,eligible_cluster_0,testable_other_clusters,max_other_activity,specificity
APP_CD74,pDC,cDC1,3,3.0,2.998462682523916,True,True,Chen_Zhang_2020;Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,1.0,0.9994875608413053,III-IV,1,0.0,1,1,0.0,0.9994875608413053
APP_CD74,Fibroblast peribronchial,DC mature,3,3.0,2.9977362207887097,True,True,Chen_Zhang_2020;Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,1.0,0.9992454069295699,III-IV,1,0.0,1,1,0.0,0.9992454069295699
APP_CD74,Pericyte,DC mature,2,2.0,1.998073210137221,True,True,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,1.0,0.9990366050686105,III-IV,1,0.0,1,1,0.0,0.9990366050686105
APP_CD74,pDC,cDC2,4,4.0,3.996054363447511,True,True,Chen_Zhang_2020;Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC;Zilionis_Klein_2019,1.0,0.9990135908618778,III-IV,1,0.0,3,1,0.0,0.9990135908618778
APP_CD74,pDC,DC mature,3,3.0,2.996295529400029,True,True,Chen_Zhang_2020;Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,1.0,0.9987651764666764,III-IV,1,0.0,1,1,0.0,0.9987651764666764
APP_CD74,Pericyte,pDC,2,2.0,1.9960615148347336,True,True,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,1.0,0.9980307574173668,III-IV,1,0.0,2,1,0.0,0.9980307574173668
APP_CD74,pDC,myeloid dividing,3,3.0,2.99007159068514,True,True,Chen_Zhang_2020;Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,1.0,0.99669053022838,III-IV,1,0.0,2,1,0.0,0.99669053022838
APP_CD74,pDC,pDC,4,4.0,3.985819043837453,True,True,Chen_Zhang_2020;Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC;Zilionis_Klein_2019,1.0,0.9964547609593633,III-IV,1,0.0,3,1,0.0,0.9964547609593633
APP_CD74,DC mature,cDC1,3,3.0,2.9852794250146504,False,True,Chen_Zhang_2020;Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,1.0,0.9950931416715502,III-IV,1,0.0,1,1,0.0,0.9950931416715502
APP_CD74,pDC,B cell,4,4.0,3.971971765250131,True,True,Chen_Zhang_2020;Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC;Zilionis_Klein_2019,1.0,0.9929929413125328,III-IV,1,0.0,3,1,0.0,0.9929929413125328
APP_CD74,pDC,Macrophage,4,4.0,3.9715371441317138,True,True,Chen_Zhang_2020;Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC;Zilionis_Klein_2019,1.0,0.9928842860329284,III-IV,1,0.0,3,1,0.0,0.9928842860329284
APP_CD74,myeloid dividing,DC mature,3,3.0,2.9776200630137715,True,True,Chen_Zhang_2020;Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,1.0,0.9925400210045905,III-IV,1,0.0,1,1,0.0,0.9925400210045905
APP_CD74,Fibroblast peribronchial,pDC,4,4.0,3.9680294527181132,True,True,Chen_Zhang_2020;Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC;Zilionis_Klein_2019,1.0,0.9920073631795283,III-IV,1,0.0,3,1,0.0,0.9920073631795283
APP_CD74,Macrophage,DC mature,3,3.0,2.970190532228046,False,True,Chen_Zhang_2020;Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,1.0,0.9900635107426821,III-IV,1,0.0,1,1,0.0,0.9900635107426821
APP_CD74,Monocyte classical,DC mature,3,3.0,2.969158987952388,False,True,Chen_Zhang_2020;Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,1.0,0.989719662650796,III-IV,1,0.0,1,1,0.0,0.989719662650796
