types	Zilionis_Klein_2019_p2t2	P046	P047	P048	P049	BD_immune03	P20_T2	BD_immune08	P045	UKIM-V-2_P12_tumor_primary	BD_immune06	UKIM-V-2_P7_tumor_primary	Zilionis_Klein_2019_p2t1	BD_immune04	Kim_Lee_2020_EBUS_49	P044	Maynard_Bivona_2020_LT_S79	Kim_Lee_2020_LUNG_T31	Chen_Zhang_2020_NSCLC-9	Chen_Zhang_2020_NSCLC-5	Lambrechts_Thienpont_2018_6653_scrBT1430m	BD_immune09	Lambrechts_Thienpont_2018_6653_scrBT1432m	Chen_Zhang_2020_NSCLC-4	p033t	Maynard_Bivona_2020_LT_S42	BD_immune11	BD_immune10	Maynard_Bivona_2020_LT_S74	Chen_Zhang_2020_NSCLC-10
Plasma cell	27.0	737.0	759.0	199.0	1397.0	1040.0	630.0	697.0	91.0	409.0	3.0	2.0	25.0	128.0	10.0	655.0	70.0	251.0	46.0	569.0	96.0	119.0	77.0	239.0	391.0	0.0	3.0	233.0	169.0	855.0
Plasma cell dividing	0.0	4.0	2.0	2.0	3.0	16.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	7.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	112.0
Smooth muscle cell	0.0	75.0	25.0	2.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	22.0	0.0
T cell CD4	19.0	705.0	515.0	394.0	629.0	421.0	53.0	859.0	390.0	1314.0	398.0	570.0	25.0	983.0	254.0	282.0	69.0	941.0	16.0	1354.0	238.0	205.0	213.0	1314.0	616.0	14.0	451.0	89.0	65.0	2629.0
T cell CD4 dividing	0.0	55.0	71.0	62.0	49.0	94.0	50.0	47.0	62.0	17.0	3.0	2.0	0.0	69.0	0.0	115.0	9.0	14.0	12.0	34.0	0.0	126.0	5.0	23.0	18.0	0.0	20.0	130.0	0.0	194.0
T cell CD8 activated	0.0	4192.0	1667.0	495.0	3151.0	222.0	17.0	974.0	1296.0	44.0	117.0	7.0	3.0	362.0	0.0	618.0	6.0	208.0	0.0	39.0	3.0	86.0	2.0	85.0	875.0	0.0	56.0	160.0	0.0	168.0
T cell CD8 dividing	0.0	12.0	19.0	39.0	6.0	205.0	11.0	5.0	6.0	32.0	2.0	4.0	0.0	77.0	14.0	52.0	2.0	28.0	0.0	57.0	27.0	296.0	11.0	16.0	7.0	0.0	7.0	343.0	0.0	247.0
T cell CD8 effector memory	0.0	2418.0	1139.0	1119.0	1435.0	1529.0	8.0	555.0	1549.0	803.0	1262.0	174.0	5.0	1837.0	40.0	1402.0	145.0	1063.0	0.0	1516.0	107.0	648.0	176.0	632.0	677.0	41.0	541.0	1332.0	60.0	3099.0
T cell CD8 naive	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	138.0	6.0	53.0	0.0	48.0	64.0	0.0	0.0	54.0	0.0	30.0	34.0	14.0	27.0	33.0	0.0	5.0	3.0	0.0	2.0	75.0
T cell CD8 terminally exhausted	0.0	85.0	92.0	293.0	285.0	1428.0	4.0	6.0	44.0	564.0	458.0	15.0	0.0	668.0	18.0	338.0	11.0	320.0	0.0	881.0	151.0	1041.0	85.0	110.0	14.0	3.0	104.0	1204.0	8.0	803.0
T cell NK-like	0.0	2.0	0.0	3.0	49.0	32.0	0.0	16.0	0.0	122.0	142.0	55.0	0.0	220.0	314.0	0.0	0.0	63.0	0.0	11.0	40.0	98.0	14.0	23.0	3.0	4.0	88.0	6.0	4.0	188.0
T cell regulatory	11.0	2412.0	1210.0	1069.0	2128.0	1069.0	90.0	677.0	855.0	615.0	232.0	90.0	12.0	1068.0	13.0	1305.0	25.0	319.0	0.0	1410.0	92.0	723.0	100.0	880.0	263.0	3.0	150.0	692.0	14.0	2064.0
Tumor IS_Secretory	0.0	10.0	4.0	49.0	130.0	90.0	47.0	204.0	50.0	4.0	57.0	8.0	0.0	138.0	2.0	67.0	11.0	91.0	178.0	14.0	9.0	0.0	0.0	3.0	173.0	0.0	155.0	0.0	6.0	714.0
Tumor Mesothelin+_Sec	0.0	29.0	9.0	4.0	16.0	3.0	2.0	3.0	96.0	0.0	2.0	273.0	0.0	10.0	0.0	4.0	42.0	0.0	22.0	2.0	0.0	0.0	3.0	3.0	9.0	4.0	3.0	0.0	0.0	110.0
Tumor HP_LUAD	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tumor EMT	2.0	0.0	3.0	0.0	0.0	3.0	5.0	5.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	6417.0	0.0	86.0	0.0	50.0	3.0	2.0	0.0	0.0	3.0	0.0	0.0
Tumor ASP	0.0	0.0	0.0	0.0	0.0	829.0	8.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	196.0	0.0	0.0	0.0	0.0	0.0	86.0	0.0	0.0
Tumor Glyco+	0.0	19.0	34.0	116.0	14.0	4.0	12.0	0.0	31.0	0.0	2.0	14.0	0.0	5.0	2.0	189.0	3.0	26.0	485.0	4.0	3.0	62.0	0.0	42.0	147.0	0.0	0.0	18.0	41.0	3.0
Tumor ROS1+	2.0	77.0	172.0	26.0	41.0	11.0	23.0	14.0	112.0	11.0	5.0	9.0	2.0	5.0	0.0	79.0	14.0	5.0	6.0	8.0	0.0	2.0	0.0	0.0	246.0	0.0	3.0	21.0	8.0	29.0
Tumor Cycling_Epi	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	66.0	27.0	0.0	103.0	0.0	4.0	0.0	5.0	0.0	0.0	0.0	2.0	1416.0
Tumor ImEv_Sq	0.0	9.0	6.0	3.0	5.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tumor Plastic_AS_NE	21.0	7.0	5.0	2.0	3.0	328.0	610.0	0.0	2.0	251.0	0.0	0.0	21.0	0.0	79.0	31.0	0.0	0.0	12.0	151.0	0.0	19.0	2.0	5.0	19.0	0.0	0.0	186.0	0.0	0.0
Tumor NE_HPA	0.0	0.0	6.0	8.0	0.0	155.0	78.0	3.0	0.0	174.0	0.0	0.0	8.0	0.0	19.0	40.0	0.0	0.0	135.0	16.0	0.0	13.0	0.0	10.0	5.0	0.0	0.0	48.0	0.0	2.0
Tumor Inv_Stem	0.0	2.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	5.0	0.0	0.0	400.0	0.0	0.0	36.0	0.0	0.0
cDC1	0.0	4.0	6.0	11.0	8.0	5.0	0.0	8.0	5.0	7.0	3.0	0.0	2.0	0.0	0.0	6.0	3.0	17.0	0.0	12.0	0.0	0.0	2.0	6.0	3.0	0.0	8.0	9.0	0.0	18.0
cDC2	2.0	37.0	60.0	67.0	59.0	57.0	42.0	52.0	213.0	41.0	51.0	80.0	0.0	68.0	4.0	111.0	29.0	50.0	0.0	30.0	15.0	10.0	2.0	8.0	43.0	0.0	29.0	27.0	4.0	228.0
myeloid dividing	0.0	10.0	51.0	6.0	9.0	8.0	39.0	96.0	54.0	14.0	25.0	28.0	0.0	31.0	0.0	6.0	0.0	7.0	0.0	2.0	6.0	22.0	0.0	0.0	29.0	0.0	44.0	26.0	7.0	18.0
pDC	0.0	28.0	23.0	46.0	28.0	31.0	14.0	17.0	10.0	6.0	24.0	8.0	0.0	21.0	4.0	59.0	7.0	10.0	0.0	14.0	3.0	11.0	0.0	3.0	11.0	0.0	3.0	48.0	2.0	29.0
stromal dividing	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	3.0
