types	Lambrechts_Thienpont_2018_6149v1_BT2B	Lambrechts_Thienpont_2018_6149v1_BT1249	Lambrechts_Thienpont_2018_6149v2_BT1298	Lambrechts_Thienpont_2018_6149v2_BT1300	Lambrechts_Thienpont_2018_6149v2_BT1296	Zilionis_Klein_2019_p1t4	Zilionis_Klein_2019_p1t3	Lambrechts_Thienpont_2018_6149v1_BT2A	He_Fan_2021_LUAD5	Zilionis_Klein_2019_p1t2	Kim_Lee_2020_LUNG_T18	Zilionis_Klein_2019_p1t1	P24_T1	Laughney_Massague_2020_GSM3516669	Laughney_Massague_2020_GSM3516670	Lambrechts_Thienpont_2018_6149v1_BT1A	Lambrechts_Thienpont_2018_6149v1_BT1B	Lambrechts_Thienpont_2018_6149v1_BT1C	Lambrechts_Thienpont_2018_6149v2_BT1297	Lambrechts_Thienpont_2018_6149v2_BT1295	P17_T2	P17_T3
DC mature	2.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	75.0	4.0	6.0	5.0	39.0	0.0	0.0	2.0	2.0	3.0	0.0	2.0	40.0	36.0
Endothelial cell arterial	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
Endothelial cell capillary	0.0	0.0	0.0	8.0	0.0	0.0	3.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	24.0	4.0	0.0	0.0
Endothelial cell lymphatic	5.0	0.0	5.0	3.0	0.0	5.0	0.0	2.0	4.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	3.0	5.0
Endothelial cell venous	4.0	0.0	44.0	46.0	7.0	3.0	4.0	0.0	50.0	11.0	13.0	9.0	190.0	15.0	0.0	0.0	0.0	0.0	28.0	6.0	7.0	5.0
Fibroblast adventitial	13.0	18.0	10.0	2.0	0.0	2.0	2.0	2.0	2.0	3.0	13.0	3.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
Fibroblast alveolar	0.0	0.0	20.0	27.0	0.0	0.0	0.0	0.0	7.0	0.0	18.0	2.0	2.0	5.0	0.0	0.0	0.0	0.0	12.0	3.0	0.0	0.0
Fibroblast peribronchial	43.0	11.0	53.0	33.0	7.0	26.0	20.0	10.0	48.0	41.0	87.0	52.0	32.0	5.0	2.0	0.0	0.0	2.0	0.0	5.0	31.0	41.0
Macrophage	206.0	15.0	93.0	198.0	313.0	131.0	112.0	92.0	618.0	185.0	597.0	212.0	1409.0	79.0	47.0	42.0	60.0	106.0	112.0	129.0	2185.0	2248.0
Macrophage alveolar	41.0	3.0	2.0	11.0	21.0	57.0	48.0	0.0	11.0	116.0	19.0	97.0	1389.0	2.0	0.0	7.0	4.0	9.0	18.0	3.0	1256.0	2979.0
Mast cell	66.0	2.0	17.0	70.0	10.0	23.0	19.0	11.0	41.0	36.0	80.0	39.0	70.0	13.0	0.0	0.0	2.0	7.0	6.0	7.0	360.0	391.0
Monocyte classical	12.0	3.0	15.0	30.0	153.0	81.0	65.0	14.0	54.0	183.0	75.0	184.0	3949.0	49.0	5.0	8.0	8.0	17.0	64.0	58.0	975.0	1144.0
Monocyte non-classical	9.0	0.0	4.0	5.0	10.0	2.0	2.0	8.0	0.0	0.0	3.0	0.0	5.0	11.0	0.0	0.0	0.0	3.0	7.0	6.0	13.0	15.0
NK cell	60.0	9.0	35.0	61.0	55.0	24.0	24.0	45.0	154.0	32.0	30.0	24.0	716.0	2.0	22.0	12.0	10.0	23.0	58.0	32.0	813.0	942.0
NK cell dividing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	2.0	3.0	0.0	10.0	2.0	2.0	0.0	0.0	0.0	2.0	0.0	19.0	30.0
Neutrophils	0.0	0.0	0.0	0.0	0.0	71.0	96.0	0.0	0.0	57.0	0.0	39.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	49.0
Pericyte	3.0	2.0	5.0	22.0	2.0	0.0	0.0	0.0	17.0	3.0	5.0	0.0	7.0	5.0	3.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Plasma cell	51.0	0.0	31.0	129.0	130.0	34.0	32.0	30.0	444.0	83.0	23.0	69.0	257.0	0.0	0.0	6.0	15.0	31.0	155.0	64.0	1167.0	1332.0
Plasma cell dividing	2.0	0.0	0.0	3.0	11.0	0.0	0.0	0.0	74.0	0.0	0.0	0.0	6.0	2.0	0.0	3.0	2.0	5.0	7.0	2.0	44.0	50.0
Smooth muscle cell	0.0	0.0	4.0	6.0	0.0	0.0	0.0	0.0	4.0	2.0	29.0	3.0	0.0	6.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T cell CD4	153.0	6.0	492.0	612.0	437.0	142.0	113.0	37.0	1475.0	230.0	386.0	189.0	1749.0	23.0	29.0	45.0	50.0	84.0	398.0	187.0	2564.0	2843.0
T cell CD4 dividing	0.0	0.0	8.0	16.0	24.0	7.0	6.0	0.0	77.0	3.0	14.0	11.0	194.0	7.0	5.0	2.0	0.0	2.0	11.0	20.0	295.0	366.0
T cell CD8 activated	0.0	0.0	14.0	62.0	37.0	36.0	55.0	0.0	0.0	45.0	11.0	52.0	32.0	0.0	13.0	0.0	0.0	3.0	53.0	50.0	45.0	47.0
T cell CD8 dividing	9.0	0.0	11.0	18.0	141.0	3.0	0.0	6.0	68.0	2.0	7.0	0.0	100.0	4.0	3.0	7.0	2.0	12.0	116.0	135.0	153.0	139.0
T cell CD8 effector memory	57.0	0.0	259.0	405.0	421.0	82.0	71.0	11.0	81.0	111.0	134.0	96.0	422.0	0.0	37.0	31.0	26.0	60.0	422.0	296.0	619.0	827.0
T cell CD8 naive	2.0	0.0	7.0	132.0	33.0	0.0	0.0	9.0	68.0	0.0	76.0	0.0	16.0	2.0	5.0	9.0	5.0	15.0	40.0	12.0	255.0	284.0
T cell CD8 terminally exhausted	193.0	2.0	169.0	165.0	1037.0	4.0	7.0	43.0	1018.0	7.0	73.0	4.0	290.0	3.0	18.0	53.0	49.0	70.0	1006.0	879.0	524.0	703.0
T cell NK-like	17.0	2.0	34.0	61.0	66.0	0.0	0.0	11.0	321.0	0.0	52.0	0.0	39.0	0.0	2.0	11.0	12.0	18.0	71.0	45.0	124.0	143.0
T cell regulatory	94.0	5.0	77.0	180.0	401.0	64.0	60.0	56.0	1366.0	74.0	247.0	71.0	505.0	5.0	66.0	32.0	20.0	19.0	383.0	270.0	1976.0	2528.0
Tumor Club_AT2_LUAD	35.0	0.0	14.0	64.0	28.0	14.0	6.0	5.0	94.0	24.0	5.0	22.0	79.0	5.0	16.0	4.0	2.0	9.0	57.0	19.0	62.0	47.0
Tumor LUAD_Club_AT2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tumor LUAD_Club_AT2/1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
Tumor LUAD_NE_LUSC	43.0	0.0	0.0	2.0	595.0	0.0	2.0	67.0	0.0	0.0	57.0	3.0	23.0	0.0	89.0	0.0	0.0	0.0	668.0	220.0	415.0	448.0
Tumor LUAD_NE_mitotic	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	302.0	0.0	4.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
Tumor LUAD_mitotic	4.0	0.0	15.0	42.0	32.0	0.0	7.0	2.0	16.0	13.0	104.0	6.0	18431.0	2.0	3.0	5.0	6.0	3.0	82.0	23.0	332.0	374.0
Tumor LUSC_LUAD_mitotic	60.0	10.0	878.0	1385.0	28.0	166.0	144.0	27.0	3.0	268.0	626.0	238.0	139.0	237.0	0.0	46.0	47.0	30.0	27.0	11.0	4291.0	6568.0
cDC1	3.0	0.0	3.0	6.0	8.0	0.0	2.0	3.0	31.0	2.0	6.0	4.0	8.0	2.0	0.0	2.0	0.0	2.0	5.0	7.0	85.0	85.0
cDC2	21.0	4.0	23.0	44.0	26.0	37.0	35.0	9.0	669.0	55.0	96.0	59.0	202.0	35.0	22.0	16.0	13.0	11.0	46.0	33.0	454.0	504.0
myeloid dividing	5.0	0.0	3.0	7.0	0.0	14.0	12.0	0.0	149.0	23.0	37.0	19.0	426.0	2.0	13.0	0.0	0.0	0.0	0.0	0.0	307.0	311.0
pDC	8.0	0.0	4.0	11.0	13.0	17.0	10.0	2.0	35.0	28.0	6.0	30.0	12.0	30.0	0.0	0.0	2.0	2.0	6.0	4.0	102.0	92.0
