types	Wu_Zhou_2021_GSM4453592	Wu_Zhou_2021_GSM4453585	Wu_Zhou_2021_GSM4453589	Wu_Zhou_2021_GSM4453606	Wu_Zhou_2021_GSM4453578	Wu_Zhou_2021_GSM4453576	Wu_Zhou_2021_GSM4453600	Wu_Zhou_2021_GSM4453598	Wu_Zhou_2021_GSM4453616
Endothelial cell capillary	0.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Endothelial cell venous	4.0	32.0	25.0	0.0	9.0	106.0	78.0	7.0	14.0
Fibroblast adventitial	0.0	2.0	0.0	0.0	0.0	0.0	3.0	7.0	0.0
Fibroblast alveolar	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fibroblast peribronchial	10.0	412.0	26.0	0.0	14.0	109.0	114.0	136.0	143.0
Macrophage	6.0	163.0	113.0	19.0	29.0	587.0	21.0	103.0	116.0
Macrophage alveolar	3.0	7.0	0.0	0.0	2.0	7.0	11.0	15.0	4.0
Mast cell	0.0	3.0	13.0	0.0	2.0	10.0	0.0	19.0	2.0
Monocyte classical	0.0	36.0	6.0	3.0	17.0	34.0	13.0	18.0	4.0
NK cell dividing	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
Pericyte	21.0	36.0	2.0	0.0	6.0	54.0	19.0	2.0	66.0
Plasma cell	14.0	77.0	86.0	11.0	5.0	162.0	0.0	98.0	6.0
Plasma cell dividing	0.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Smooth muscle cell	0.0	5.0	0.0	0.0	0.0	2.0	0.0	0.0	5.0
T cell CD4	0.0	3.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0
T cell CD4 dividing	0.0	8.0	4.0	0.0	4.0	13.0	0.0	2.0	0.0
T cell CD8 dividing	0.0	3.0	2.0	0.0	3.0	8.0	0.0	2.0	0.0
T cell CD8 effector memory	0.0	7.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
T cell CD8 terminally exhausted	0.0	3.0	0.0	0.0	0.0	5.0	0.0	2.0	0.0
T cell regulatory	0.0	12.0	0.0	0.0	0.0	4.0	0.0	3.0	0.0
Tumor AT2/1_LUAD	0.0	0.0	20.0	0.0	0.0	3.0	0.0	8.0	2.0
Tumor Club/AT2_MSLN	0.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	2.0
Tumor LUAD2	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
Tumor LUAD_EMT	18.0	14.0	0.0	0.0	72.0	13.0	27.0	29.0	74.0
Tumor LUAD_LUSC_mitotic	3.0	0.0	0.0	5.0	18.0	24.0	0.0	5.0	24.0
Tumor LUAD_MSLN_LUSC	8.0	28.0	3.0	9.0	42.0	38.0	31.0	80.0	71.0
Tumor LUAD_ROS1+	73.0	32.0	6.0	0.0	47.0	44.0	35.0	109.0	135.0
Tumor LUAD_mitotic	3.0	0.0	2.0	0.0	5.0	0.0	15.0	3.0	2.0
Tumor LUSC_LUAD_NE	4500.0	904.0	209.0	163.0	2638.0	1183.0	475.0	732.0	1932.0
Tumor LUSC_mitotic_NE	563.0	746.0	568.0	37.0	1300.0	1204.0	1248.0	234.0	943.0
Tumor NSCLC_mixed	0.0	13.0	60.0	0.0	184.0	254.0	0.0	4.0	21.0
cDC1	0.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
cDC2	0.0	14.0	12.0	2.0	7.0	16.0	2.0	18.0	3.0
myeloid dividing	0.0	24.0	18.0	0.0	8.0	22.0	3.0	24.0	5.0
pDC	0.0	0.0	3.0	0.0	3.0	2.0	0.0	6.0	0.0
stromal dividing	2.0	14.0	0.0	0.0	2.0	13.0	36.0	0.0	21.0
